Date,StrategyValue,Benchmark,Returns,Cummax,drawdown,Monat,monthly_returns,Benchmark_Returns
2013-02-12,242.83,109.54656041195796,-0.0020138089758342,243.76,-0.3815228093206344,2,0.0,0.0007804235880946031
2013-02-13,243.07,109.55817969074585,0.0009883457562902,243.76,-0.2830653101411214,2,0.0,0.00010606703436599751
2013-02-14,243.39,109.69759625026747,0.0013164931912617,243.76,-0.1517886445684298,2,0.0,0.0012725344644750614
2013-02-15,243.29,109.69932789740444,-0.0004108632236328,243.76,-0.1928126025598945,2,0.0,1.5785643406651673e-05
2013-02-19,243.77,110.29154255226992,0.0019729540877142,243.77,-0.0,2,0.0,0.005398525827061906
2013-02-20,243.92,108.60312671914305,0.0006153341264305,243.92,-0.0,2,0.0,-0.015308660973045063
2013-02-21,244.02,107.50671853327363,0.0004099704821254,244.02,-0.0,2,0.0,-0.01009554898640097
2013-02-22,245.13,108.30914376659612,0.004548807474797,245.13,-0.0,2,0.0,0.00746395429299751
2013-02-25,243.57,106.63406840104939,-0.0063639701382939,245.13,-0.6363970138293976,2,0.0,-0.015465687450696541
2013-02-26,244.21,107.11358435790632,0.0026275813934393,245.13,-0.3753110594378442,2,0.0,0.004496836368030888
2013-02-27,245.24,108.75259532698006,0.0042176815036238,245.24,-0.0,2,0.0,0.015301616306641286
2013-02-28,246.2,108.68294165789787,0.0039145327026586,246.2,-0.0,2,0.0100927217526869,-0.0006404782237404705
2013-03-01,246.57,109.12416033292023,0.0015028432168968,246.57,-0.0,3,0.0,0.0040596865367446
2013-03-04,246.94,109.66153806438186,0.001500588068297,246.94,-0.0,3,0.0,0.0049244615474903775
2013-03-05,246.87,110.89880690415328,-0.0002834696687453,246.94,-0.0283469668745416,3,0.0,0.011282614320483386
2013-03-06,246.95,111.04636521444849,0.0003240571960949,246.95,-0.0,3,0.0,0.0013305671577039657
2013-03-07,246.28,111.31680300088426,-0.0027130998177767,246.95,-0.2713099817776827,3,0.0,0.0024353591935541985
2013-03-08,246.14,111.79664859222909,-0.0005684586649342,246.95,-0.3280016197610862,3,0.0,0.004310630366747281
2013-03-11,246.38,112.12008775399917,0.0009750548468352,246.95,-0.2308159546466868,3,0.0,0.0028931024842238084
2013-03-12,246.31,112.07861428754265,-0.0002841139702898,246.95,-0.2591617736383828,3,0.0,-0.00036990219404320346
2013-03-13,246.99,112.34896275076429,0.0027607486500751,246.99,-0.0,3,0.0,0.0024121324566706015
2013-03-14,246.99,112.8414836129379,0.0,246.99,-0.0,3,0.0,0.004383848770070475
2013-03-15,246.41,112.35313932120484,-0.0023482732094417,246.99,-0.2348273209441728,3,0.0,-0.004327701799882067
2013-03-18,247.28,111.59336556007263,0.0035307008644129,247.28,-0.0,3,0.0,-0.006762372335321287
2013-03-19,247.57,111.27232816037456,0.0011727596247168,247.57,-0.0,3,0.0,-0.002876850232868433
2013-03-20,248.87,112.28604202717565,0.0052510401098679,248.87,-0.0,3,0.0,0.009110206315985803
2013-03-21,247.82,111.48889511255891,-0.0042190701972918,248.87,-0.4219070197291804,3,0.0,-0.007099252055066785
2013-03-22,248.55,111.85681318270682,0.0029456863852797,248.87,-0.1285811869650794,3,0.0,0.0033000423026567915
2013-03-25,247.85,111.66279455861363,-0.0028163347415007,248.87,-0.4098525334512035,3,0.0,-0.0017345266557547978
2013-03-26,248.86,112.48720763330158,0.004075045390357,248.87,-0.0040181620926551,3,0.0,0.007383059665905245
2013-03-27,249.48,112.72679699993269,0.0024913606043557,249.48,-0.0,3,0.0,0.0021299254526092604
2013-03-28,250.32,113.18450297105103,0.0033670033670034,250.32,-0.0,3,0.0,0.004060312040256253
2013-04-01,250.29,112.52423606551196,-0.0001198465963566,250.32,-0.0119846596356668,4,0.0,-0.005833545125059625
2013-04-02,250.57,112.82350265079258,0.0011187023053258,250.57,-0.0,4,0.0,0.0026595744680850686
2013-04-03,249.47,111.61760147528564,-0.0043899908209282,250.57,-0.4389990820928261,4,0.0,-0.010688386259726457
2013-04-04,250.02,112.06891487850577,0.0022046739086865,250.57,-0.2194995410464073,4,0.0,0.004043389190010904
2013-04-05,250.44,111.51318108561969,0.001679865610751,250.57,-0.0518817097018779,4,0.0,-0.004958857623352131
2013-04-08,251.08,112.25755738188872,0.002555502315924,251.08,-0.0,4,0.0,0.006675231475079979
2013-04-09,252.37,112.76545764581094,0.005137804683766,252.37,-0.0,4,0.0,0.004524419342159636
2013-04-10,252.67,114.48496237618559,0.0011887308317153,252.67,-0.0,4,0.0,0.015248505759410058
2013-04-11,253.34,115.04396038321396,0.0026516800569913,253.34,-0.0,4,0.0,0.004882719926059487
2013-04-12,253.73,114.69228697406673,0.0015394331728111,253.73,-0.0,4,0.0,-0.003056861116183751
2013-04-15,253.36,111.85727923485462,-0.0014582430142275,253.73,-0.1458243014227628,4,0.0,-0.024718381802371292
2013-04-16,253.41,113.4399871431298,0.000197347647616,253.73,-0.1261183147440165,4,0.0,0.014149351022137324
2013-04-17,252.75,111.42493242380122,-0.0026044749615248,253.73,-0.3862373389035549,4,0.0,-0.017763178311948624
2013-04-18,252.16,111.06811299562136,-0.0023343224530167,253.73,-0.6187679817128416,4,0.0,-0.0032023302183635804
2013-04-19,252.63,111.78881564709837,0.0018638959390862,253.73,-0.4335317069325639,4,0.0,0.006488834932357523
2013-04-22,254.48,112.2117912626391,0.0073229624351818,254.48,-0.0,4,0.0,0.003783702449053461
2013-04-23,257.23,113.35962854051418,0.0108063502043382,257.23,-0.0,4,0.0,0.01022920376690628
2013-04-24,256.88,114.07467345246411,-0.0013606500019438,257.23,-0.1360650001943874,4,0.0,0.006307756307567525
2013-04-25,258.3,114.5077735044845,0.0055278729367798,258.3,-0.0,4,0.0,0.0037966363515462564
2013-04-26,258.36,114.26238396082175,0.0002322880371661,258.36,-0.0,4,0.0,-0.002142994629558026
2013-04-29,258.93,114.90431271617061,0.0022062238736646,258.93,-0.0,4,0.0,0.0056180234745404345
2013-04-30,259.04,114.82656172918135,0.0004248252423435,259.04,-0.0,4,0.0348354106743369,-0.0006766585618184218
2013-05-01,259.02,114.33832413660183,-7.720815318112972e-05,259.04,-0.0077208153181125,5,0.0,-0.004251956909857024
2013-05-02,259.83,115.57564897552624,0.0031271716469771,259.83,-0.0,5,0.0,0.01082161076146404
2013-05-03,260.34,117.06661576392922,0.0019628218450524,260.34,-0.0,5,0.0,0.012900354024563576
2013-05-06,260.34,117.3539512762623,0.0,260.34,-0.0,5,0.0,0.002454461594008084
2013-05-07,260.34,117.90514119903554,0.0,260.34,-0.0,5,0.0,0.004696816057566666
2013-05-08,260.34,118.37466822306013,0.0,260.34,-0.0,5,0.0,0.003982243855100265
2013-05-09,260.34,118.14079467717929,0.0,260.34,-0.0,5,0.0,-0.00197570603061914
2013-05-10,260.34,119.16900980386997,0.0,260.34,-0.0,5,0.0,0.008703302948827263
2013-05-13,260.34,118.92054101671165,0.0,260.34,-0.0,5,0.0,-0.0020850117624309217
2013-05-14,260.45,120.02425898352477,0.0004225243911808,260.45,-0.0,5,0.0,0.009281138122790855
2013-05-15,261.02,120.687786652493,0.0021885198694566,261.02,-0.0,5,0.0,0.005528279654359869
2013-05-16,260.68,120.03599015916461,-0.0013025821776108,261.02,-0.1302582177610815,5,0.0,-0.005400683129645589
2013-05-17,261.32,121.06111539281716,0.0024551173853,261.32,-0.0,5,0.0,0.008540148936108771
2013-05-20,261.46,121.02436566937118,0.0005357416194702,261.46,-0.0,5,0.0,-0.00030356339710513325
2013-05-21,261.46,121.32197655303261,0.0,261.46,-0.0,5,0.0,0.002459098893147438
2013-05-22,261.13,119.86227730590211,-0.0012621433488869,261.46,-0.1262143348886958,5,0.0,-0.012031614457685968
2013-05-23,261.14,119.82941777196743,3.829510205632936e-05,261.46,-0.1223896580738901,5,0.0,-0.0002741440816348417
2013-05-24,261.01,119.21382018131975,-0.0004978172627708,261.46,-0.1721104566664073,5,0.0,-0.005137282664755549
2013-05-28,260.77,120.40912530362311,-0.0009195049998084,261.46,-0.2639027002218304,5,0.0,0.010026565044936486
2013-05-29,260.08,119.50176452682138,-0.0026460098937761,261.46,-0.5278054004436608,5,0.0,-0.00753564793792616
2013-05-30,260.79,120.18022945359668,0.0027299292525377,261.46,-0.2562533465921973,5,0.0,0.00567744693529626
2013-05-31,260.56,118.95567571205558,-0.000881935657042,261.46,-0.3442209133328147,5,0.0058678196417538,-0.01018931106313059
2013-06-03,261.19,118.38227364638216,0.0024178692047895,261.46,-0.10326627399984,6,0.0,-0.004820300185267357
2013-06-04,261.05,118.46360513771992,-0.0005360082698417,261.46,-0.1568117494071629,6,0.0,0.000687024237942202
2013-06-05,259.96,116.58945751830329,-0.0041754453169892,261.46,-0.5737015222213724,6,0.0,-0.01582045065434101
2013-06-06,263.6,117.42256098484086,0.0140021541775658,263.6,-0.0,6,0.0,0.0071456157723932545
2013-06-07,266.08,119.27401303401399,0.0094081942336872,266.08,-0.0,6,0.0,0.015767430327227716
2013-06-10,265.57,119.19110043047655,-0.0019167167769091,266.08,-0.1916716776909166,6,0.0,-0.0006951439079507793
2013-06-11,264.92,118.1823074109299,-0.0024475656135858,266.08,-0.4359591100420806,6,0.0,-0.008463660591296218
2013-06-12,263.77,116.70683374085039,-0.0043409331118829,266.08,-0.8681599518941682,6,0.0,-0.01248472552620894
2013-06-13,266.23,118.64783455771234,0.0093263070098952,266.23,-0.0,6,0.0,0.016631423839087223
2013-06-14,265.78,118.42422360312779,-0.0016902678135448,266.23,-0.169026781354485,6,0.0,-0.0018846610679252862
2013-06-17,266.43,119.03233409160667,0.0024456317254872,266.43,-0.0,6,0.0,0.00513501773519609
2013-06-18,267.21,120.09413064232075,0.0029275982434409,267.21,-0.0,6,0.0,0.008920236327525366
2013-06-19,267.39,119.10332671479435,0.0006736274840013,267.39,-0.0,6,0.0,-0.008250227735752791
2013-06-20,265.48,115.48928821067047,-0.0071431242754028,267.39,-0.714312427540285,6,0.0,-0.030343724258668936
2013-06-21,265.74,115.53435960691345,0.0009793581437396,267.39,-0.6170761808594103,6,0.0,0.0003902647331306408
2013-06-24,266.89,114.30664221113804,0.0043275381952283,267.39,-0.1869927820786117,6,0.0,-0.010626426631458519
2013-06-25,269.06,115.32757853808945,0.0081306905466671,269.06,-0.0,6,0.0,0.008931557319876715
2013-06-26,273.58,116.46571825837057,0.0167992269382293,273.58,-0.0,6,0.0,0.00986875589263514
2013-06-27,275.54,117.68006459300555,0.0071642663937423,275.54,-0.0,6,0.0,0.010426641871911668
2013-06-28,275.08,117.5202719220241,-0.0016694490818031,275.54,-0.1669449081803136,6,0.0,-0.0013578567579317635
2013-07-01,275.31,118.09310842950667,0.0008361204013378,275.54,-0.0834724540901568,7,0.0,0.004874363359733014
2013-07-02,275.25,117.82265879874521,-0.0002179361447096,275.54,-0.1052478768962838,7,0.0,-0.00229013897896424
2013-07-03,275.19,117.86563847772484,-0.0002179836512261,275.54,-0.1270232997024108,7,0.0,0.0003647827966015704
2013-07-05,275.41,119.10684150029564,0.000799447654348,275.54,-0.047180082746605,7,0.0,0.01053066049275575
2013-07-08,275.64,119.46377871938924,0.0008351185505244,275.64,-0.0,7,0.0,0.0029967818355145504
2013-07-09,275.93,120.47081378409186,0.0010520969380352,275.93,-0.0,7,0.0,0.00842962674961134
2013-07-10,276.08,120.74289905991293,0.0005436161345266,276.08,-0.0,7,0.0,0.0022585161274721877
2013-07-11,276.25,122.83802313807335,0.000615763546798,276.25,-0.0,7,0.0,0.017351944457792312
2013-07-12,276.25,123.19783204758035,0.0,276.25,-0.0,7,0.0,0.002929133018548802
2013-07-15,276.25,123.76581978363743,0.0,276.25,-0.0,7,0.0,0.004610371194175844
2013-07-16,276.25,123.33160890682453,0.0,276.25,-0.0,7,0.0,-0.003508326269498041
2013-07-17,276.25,123.543020111838,0.0,276.25,-0.0,7,0.0,0.001714168872743782
2013-07-18,276.25,124.19500495222415,0.0,276.25,-0.0,7,0.0,0.005277391145173116
2013-07-19,276.25,124.31172958093866,0.0,276.25,-0.0,7,0.0,0.0009398496240602405
2013-07-22,276.25,124.57062633096585,0.0,276.25,-0.0,7,0.0,0.0020826413637711205
2013-07-23,276.25,124.18109492672991,0.0,276.25,-0.0,7,0.0,-0.003126992419553276
2013-07-24,276.24,123.12491885668398,-3.6199095022615424e-05,276.25,-0.0036199095022591,7,0.0,-0.00850512769813394
2013-07-25,277.18,124.16614205175038,0.0034028381117867,277.18,-0.0,7,0.0,0.008456640660030601
2013-07-26,277.13,123.93476928320717,-0.0001803881953965,277.18,-0.0180388195396534,7,0.0,-0.0018634127204079087
2013-07-29,277.05,123.65384717747916,-0.0002886731858693,277.18,-0.0469009308030866,7,0.0,-0.0022666932560794217
2013-07-30,277.03,123.96053831843199,-7.218913553519446e-05,277.18,-0.0541164586189602,7,0.0,0.0024802393775313902
2013-07-31,277.24,124.58237444156512,0.0007580406454175,277.24,-0.0,7,0.0078522611603892,0.005016403861814123
2013-08-01,278.04,126.35465079659285,0.0028855864954553,278.04,-0.0,8,0.0,0.014225739098101764
2013-08-02,278.08,126.38901572858711,0.0001438641922024,278.08,-0.0,8,0.0,0.0002719720388415503
2013-08-05,277.87,126.40159450230446,-0.0007551783659377,278.08,-0.0755178365937786,8,0.0,9.952426359860489e-05
2013-08-06,277.8,125.73701577356786,-0.0002519163637672,278.08,-0.1006904487917048,8,0.0,-0.005257676782902343
2013-08-07,277.99,125.21350800006137,0.0006839452843772,278.08,-0.0323647871116135,8,0.0,-0.004163513586557865
2013-08-08,278.11,125.90234784119846,0.0004316702039641,278.11,-0.0,8,0.0,0.005501322118830476
2013-08-09,278.2,125.86163374693677,0.000323612958901,278.2,-0.0,8,0.0,-0.00032337835600204645
2013-08-12,278.18,125.68470425764802,-7.189072609625757e-05,278.2,-0.0071890726096268,8,0.0,-0.001405746008704245
2013-08-13,278.56,125.97386674839515,0.0013660220001436,278.56,-0.0,8,0.0,0.002300697546730568
2013-08-14,278.21,125.17240164047729,-0.0012564618035612,278.56,-0.1256461803561253,8,0.0,-0.006362153743511012
2013-08-15,276.1,123.00980543528146,-0.007584198986377,278.56,-0.8831131533601304,8,0.0,-0.017276941057720374
2013-08-16,276.51,123.03026916453635,0.0014849692140528,278.56,-0.735927627800119,8,0.0,0.00016635852062751866
2013-08-19,276.11,121.93455079382376,-0.0014466022928645,278.56,-0.8795232624928161,8,0.0,-0.008906087730712997
2013-08-20,277.4,123.04818828927505,0.0046720509941688,278.56,-0.4164273406088544,8,0.0,0.00913307580338163
2013-08-21,276.42,122.12330682405215,-0.0035328046142752,278.56,-0.7682366456059687,8,0.0,-0.007516416763882705
2013-08-22,278.74,123.49592299551664,0.0083930251067216,278.74,-0.0,8,0.0,0.011239592238049045
2013-08-23,280.68,123.88449468183886,0.0069598909377914,280.68,-0.0,8,0.0,0.003146433314534125
2013-08-26,280.3,123.74408904133622,-0.0013538549237566,280.68,-0.1353854923756575,8,0.0,-0.00113335927036895
2013-08-27,278.59,121.73632105074073,-0.0061006064930433,280.68,-0.7446202080661365,8,0.0,-0.016225162802926407
2013-08-28,278.69,121.96020950448671,0.0003589504289458,280.68,-0.7089924469146391,8,0.0,0.0018391261688668337
2013-08-29,279.91,122.5962323166395,0.0043776238831678,280.68,-0.2743337608664606,8,0.0,0.005215002620419407
2013-08-30,279.65,121.86620218532742,-0.0009288699939268,280.68,-0.3669659398603497,8,0.0,-0.005954751769422839
2013-09-03,281.16,123.26076842679035,0.0053996066511712,281.16,-0.0,9,0.0,0.011443420870227428
2013-09-04,281.76,124.00563037368677,0.002134016218523,281.76,-0.0,9,0.0,0.006042976661619903
2013-09-05,281.71,124.34716967873283,-0.0001774559909143,281.76,-0.0177455990914293,9,0.0,0.00275422417528004
2013-09-06,281.77,124.69957539781922,0.0002129849845586,281.77,-0.0,9,0.0,0.0028340469670269375
2013-09-09,281.83,125.55130632136928,0.0002129396316143,281.83,-0.0,9,0.0,0.006830263221288879
2013-09-10,281.98,127.00561924478635,0.0005322357449526,281.98,-0.0,9,0.0,0.011583415306683609
2013-09-11,281.98,127.50564846424454,0.0,281.98,-0.0,9,0.0,0.00393706374908076
2013-09-12,281.98,126.99896689583137,0.0,281.98,-0.0,9,0.0,-0.003973797039707239
2013-09-13,281.98,127.32928960915966,0.0,281.98,-0.0,9,0.0,0.0026009874048757986
2013-09-16,281.98,128.08955880023382,0.0,281.98,-0.0,9,0.0,0.005970890070994939
2013-09-17,281.98,128.86636227790632,0.0,281.98,-0.0,9,0.0,0.00606453394756401
2013-09-18,282.71,130.23368007733092,0.0025888360876655,282.71,-0.0,9,0.0,0.010610354597237137
2013-09-19,282.72,130.10936412019686,3.5371935906303165e-05,282.72,-0.0,9,0.0,-0.0009545607331393757
2013-09-20,282.72,129.38905095816,0.0,282.72,-0.0,9,0.0,-0.005536213068964235
2013-09-23,282.72,128.50148300967058,0.0,282.72,-0.0,9,0.0,-0.006859683581545317
2013-09-24,282.72,128.5600258265315,0.0,282.72,-0.0,9,0.0,0.00045558086560393285
2013-09-25,282.72,128.42330822352514,0.0,282.72,-0.0,9,0.0,-0.0010634534500704174
2013-09-26,282.72,129.0752355459047,0.0,282.72,-0.0,9,0.0,0.005076394086070746
